DATAHORA,NUM_OCORRENCIA,COD_TIPO_OCORRENCIA,DESC_TIPO_OCORRENCIA,COD_SUBTIPO_OCORRENCIA,DESC_SUBTIPO_OCORRENCIA,BAIRRO,MUNICIPIO,ENDERECO,REFERENCIA,AREA,Y,X,LATITUDE,LONGITUDE,Ano,Mes,Dia,date,Hora_Completa,Periodo,lat,lng
20210115144946ES,M11853944,PERTUBAC,PERTURBACAO TRABALHO OU SOSSEGO,RESTAU,RESTAURANTE,,,,,14BPM,911845930,-7606639,-794216611278.255,-382197434607745,2021,01,15,15-01-2021,2:49:00 PM,Tarde,-7.94216611278255,-38.2197434607745
20210115145742ES,M11853955,ATRITO_V,ATRITO VERBAL,MARIADAPENHA,MARIA DA PENHA,ALTO DA COLINA,JABOATÃƒO DOS GUARARAPES,3Âª_TV S JOSE DA COLINA 3,MERCADINHO SUARES/ SEM MAIS.,25BPM,910640224,28256911,-807933246449.728,-349730707025721,2021,01,15,15-01-2021,2:57:00 PM,Tarde,-8.07933246449728,-34.9730707025721
20210116110009ES,M11856239,AGRESSAO,AGRESSAO,AGR1D,FISICA COM LESAO CORPORAL,TORROES,RECIFE,R  GUERRA DOS MASCATES 190,BARRACA DE LULA/BEIRA DO CANAL,12BPM,910902710,28646120,-805577181679.895,-34937652932852,2021,01,16,16-01-2021,11:00:00 AM,Manhã,-8.05577181679895,-34.4937652932852
20210116110817ES,M11856254,AGRESSAO,AGRESSAO,AGR1B,POR ARMA BRANCA,CASA AMARELA,RECIFE,R PE LEMOS 720,MERCADO PÃšBLICA/CEMITÃ‰RIO/DEFRONTE ATACAREJO,11BPM,911283484,28833133,-802142816707.165,-349205279514925,2021,01,16,16-01-2021,11:08:00 AM,Manhã,-8.02142816707165,-34.9205279514925
20210116231315ES,M11858329,COVID19,COVID-19,COVID01,AGLOMERACAO DE PESSOAS,PINA,RECIFE,AV  BOA VIAGEM,PISTA DE SKATE DA AV BOA VIAGEM - PINA,19BPM,910525121,29265305,-809016959974.699,-348816470865067,2021,01,16,16-01-2021,11:13:00 PM,Noite,-8.09016959974699,-34.8816470865067
20210117184558ES,M11861110,ENTORPEC,ENTORPECENTES E DROGAS AFINS,ENTORP1,CULTIVO,,,,,5CIPM,908800756,21875385,-824235244545.179,-355528675623954,2021,01,17,17-01-2021,6:45:00 PM,Noite,-8.24235244545179,-35.5528675623954
20210117190650ES,M11861195,AMEACA,AMEACA,MARIADAPENHA,MARIA DA PENHA,,,,,2BPM,914936127,24483871,-768926803489.769,-35313118657298,2021,01,17,17-01-2021,7:06:00 PM,Noite,-7.68926803489769,-35.5313118657298
20210117190507ES,M11861187,ATROPELA,ATROPELAMENTO,default,,CENTRO(IPOJUCA),IPOJUCA,ROD  PE-060,PRÃ“XIMO A PRAÃ‡A DE IPOJUCA,18BPM,906981705,27221892,-840957992909.147,-350686711064969,2021,01,17,17-01-2021,7:05:00 PM,Noite,-8.40957992909147,-35.0686711064969
20210117190509ES,M11861188,ACIDENT1,ACIDENTE DE TRANSITO COM VEICS OFICIAIS,TRAN10B,COM VITIMA FERIDA/PRESA EM FERRAGENS,,,,,3BPM,905784389,3327904,-850021884520.259,-372368407276293,2021,01,17,17-01-2021,7:05:00 PM,Noite,-8.50021884520259,-37.2368407276293
20210118002807ES,M11862826,AMEACA,AMEACA,MARIADAPENHA,MARIA DA PENHA,,,,,7BPM,911764527,-29207127,-792039371148.456,-401680433338936,2021,01,18,18-01-2021,12:28:00 AM,Madrugada,-7.92039371148456,-40.1680433338936
20210118002828ES,M11862828,AGRESSAO,AGRESSAO,AGR1D,FISICA COM LESAO CORPORAL,ARRUDA,RECIFE,R  RAMIZ GALVAO 225,PX AO CAMPO DO ARRUDA ,13BPM,911242877,29111185,-802521610566.887,-348953260453967,2021,01,18,18-01-2021,12:28:00 AM,Madrugada,-8.02521610566887,-34.8953260453967
20210118004007ES,M11862875,AMEACA,AMEACA,MARIADAPENHA,MARIA DA PENHA,SAPUCAIA,OLINDA,R DA BOA VONTADE 117,APOS A FRI CALOR ,1BPM,911517077,29210510,-800046821490.417,-348862030680808,2021,01,18,18-01-2021,12:40:00 AM,Madrugada,-8.00046821490417,-34.8862030680808
20210118090345ES,M11863277,AMEACA,AMEACA,MARIADAPENHA,MARIA DA PENHA,TIMBI,CAMARAGIBE,R  ANA ALVES 37,"NA RUA DA RADIO GUARANY,AO LADO DA  ACADEMIA ",20BPM,911201395,28019899,-802849839931.922,-349943210899359,2021,01,18,18-01-2021,9:03:00 AM,Manhã,-8.02849839931922,-34.9943210899359
20210118090355ES,M11863278,ENTORPEC,ENTORPECENTES E DROGAS AFINS,ENTORP8,USO,BOA VISTA,RECIFE,PCA  MACIEL PINHEIRO,PRAÃ‡A MACIEL PINHEIRO,16BPM,910834344,29225546,-806219747347.819,-348851241202322,2021,01,18,18-01-2021,9:03:00 AM,Manhã,-8.06219747347819,-34.8851241202322
20210118165401ES,M11863708,COLISAO1,COLISAO ENTRE VEICULOS,TRAN1C,SEM VITIMA,SANTO AMARO,RECIFE,AV  NORTE 1061,POSTO DE GASOLINA ALVORADA,16BPM,911029934,29281155,-804453814522.777,-348799983002082,2021,01,18,18-01-2021,4:54:00 PM,Tarde,-8.04453814522777,-34.8799983002082
20210118190146ES,M11863893,AMEACA,AMEACA,AMEACA2,COM ARMA BRANCA,CAJUEIRO SECO,JABOATÃƒO DOS GUARARAPES,R  DOIS IRMAOS 19,ATRÃS DA FACULDADE METROPOLITANA,6BPM,909631808,28821837,-817074080487.295,-349222605561747,2021,01,18,18-01-2021,7:01:00 PM,Noite,-8.17074080487295,-34.9222605561747
20210119112744ES,M11864748,ESCOLTA,ESCOLTA,ESCOLTA1,DE PRESO,,,,,23BPM,914126651,-1039928,-774358422564.402,-376238668776184,2021,01,19,19-01-2021,11:27:00 AM,Manhã,-7.74358422564402,-37.6238668776184
20210119112750ES,M11864749,ENTORPEC,ENTORPECENTES E DROGAS AFINS,ENTORP7,TRAFICO,BARRO,RECIFE,R  CABO BRANCO 26,PRÃ“XIMO  A QUADRA DO CANARIO / PROX AO 11,12BPM,910525638,28624440,-808985085694.478,-349397820806396,2021,01,19,19-01-2021,11:27:00 AM,Manhã,-8.08985085694478,-34.9397820806396
20210119112800ES,M11864750,VEICULO1,VEICULO ROUBADO OU FURTADO / LOCALIZADO,default,,,,,,2BPM,914936127,24483871,-768926803489.769,-35313118657298,2021,01,19,19-01-2021,11:28:00 AM,Manhã,-7.68926803489769,-35.5313118657298
20210119115827ES,M11864770,TESTE,TESTE,default,,,,,,5BPM,896038382,-32803633,-932487779559.662,-405196421179546,2021,01,19,19-01-2021,11:58:00 AM,Manhã,-9.32487779559662,-40.5196421179546
20210119221257ES,M11865544,AVERIGUA,AVERIGUACAO DE SUSPEITO,default,,CRUZ DE REBOUCAS,IGARASSU,R  BEZERROS 205,PROX AO EDUCANDARIO PIEJÃ“,26BPM,912846704,28928889,-788014604626.654,-349111886392714,2021,01,19,19-01-2021,10:12:00 PM,Noite,-7.88014604626654,-34.9111886392714
20210119221637ES,M11865552,ATRITO_V,ATRITO VERBAL,default,,SAO JOSE,RECIFE,AV  RIO CAPIBARIBE,IGREJA ASSEMBLEIA DE DEUS//ESTAÃ‡ÃƒO RECIFE,16BPM,910779113,29221791,-806718910010.055,-348854878696777,2021,01,19,19-01-2021,10:16:00 PM,Noite,-8.06718910010055,-34.8854878696777
20210120160323ES,M11866302,AMEACA,AMEACA,default,,DESTERRO,ABREU E LIMA,R  ROSA PEREIRA DA CRUZ 105,PIZZARIA  DO  BORGES  ,17BPM,912729078,28984065,-789080285430.908,-349062346673925,2021,01,20,20-01-2021,4:03:00 PM,Tarde,-7.89080285430908,-34.9062346673925
20210120164255ES,M11866339,AMEACA,AMEACA,AMEACA1,VERBAL,VASSOURAL,CARUARU,3A_TRAVESSA  VASSOURAL 29,PROXIMO AO CAMPO,4BPM,908153423,17297955,-829796902802.011,-359684430320508,2021,01,20,20-01-2021,4:42:00 PM,Tarde,-8.29796902802011,-35.9684430320508
20210121022348ES,M11867165,MAUS_TRA,MAUS TRATOS,MAUST3,A ANIMAIS,,,,,6CIPM,911823857,22253496,-796938122535.191,-35516869655155,2021,01,21,21-01-2021,2:23:00 AM,Madrugada,-7.96938122535191,-35.5516869655155
20210121025029ES,M11867171,INVASAO,INVASAO ,14A,A DOMICILIO,CASA AMARELA,RECIFE,R  BELA VISTA 87,SITIO DA TRINDADE ,11BPM,911238641,28934035,-802552475607.031,-349113952742529,2021,01,21,21-01-2021,2:50:00 AM,Madrugada,-8.02552475607031,-34.9113952742529
20210121042249ES,M11867207,ESCOLTA,ESCOLTA,ESCOLTA1,DE PRESO,TOTO,RECIFE,AV.,CEMITERIO PARQUE DAS FLORES,1BPM,911381639,29606869,-801287553694.615,-348503101610157,2021,01,21,21-01-2021,4:22:00 AM,Madrugada,-8.01287553694615,-34.8503101610157
20210121035524ES,M11867201,DIRECAO1,DIRECAO DE VEICULO SEM HABILITACAO,default,,,,,,10CIP,904090723,25880402,-867022542891.995,-351919352274429,2021,01,21,21-01-2021,3:55:00 AM,Madrugada,-8.67022542891995,-35.1919352274429
20210121044126ES,M11867212,FURTO,FURTO,11H,OUTRO,IBURA DE BAIXO,RECIFE,R  FRANCISCO BELTRAO 74,LANCHONETE COXINHA DA ZELÃš/ DESCIDA DO CALDO DE CANA,19BPM,910157802,28675963,-812312644231.077,-349352673050125,2021,01,21,21-01-2021,4:41:00 AM,Madrugada,-8.12312644231077,-34.9352673050125
20210121183819ES,M11867837,CRIANCA,CRIANCA E ADOLESCENTE,CRIAD2,VITIMA,JARDIM PRIMAVERA,CAMARAGIBE,AV PRF SAMUEL MAC DOWELL 301,NA RUA DA PADARIA DE SEU JOÃƒO,20BPM,911395320,28356781,-801111423567.006,-3496368300723,2021,01,21,21-01-2021,6:38:00 PM,Noite,-8.01111423567006,-34.3496368300723
20210121185131ES,M11867852,ENTORPEC,ENTORPECENTES E DROGAS AFINS,ENTORP7,TRAFICO,SAO FRANCISCO,CARUARU,RUA  IZABEL FERREIRA DA SILVA 62,IGREJA ASSEMBLEIA DE DEUS,4BPM,908278752,17202335,-828658319118.507,-359770294257967,2021,01,21,21-01-2021,6:51:00 PM,Noite,-8.28658319118507,-35.9770294257967
20210122013747ES,M11868485,FURTO,FURTO,11H,OUTRO,ENCRUZILHADA,RECIFE,ESTR DE BELEM 99,QUITANDARIA SUPERMERCADO,13BPM,911121847,29172317,-803618338618.997,-348898319627563,2021,01,22,22-01-2021,1:37:00 AM,Madrugada,-8.03618338618997,-34.8898319627563
20210122024549ES,M11868540,VIAS_DE,VIAS DE FATO,MARIADAPENHA,MARIA DA PENHA,NOSSA SRA CONCEICAO,PAULISTA,R  CARVALHOPOLIS 164,RUA DA IGREJA ALIANÃ‡A/ GALERIA BEACH CENTER,17BPM,912791507,29753850,-788547088550.101,-348364119677758,2021,01,22,22-01-2021,2:45:00 AM,Madrugada,-7.88547088550101,-34.8364119677758
20210122142255ES,M11869024,AGRESSAO,AGRESSAO,AGR1F,OUTRAS,PONTE DOS CARVALHOS,CABO DE SANTO AGOSTINHO,AV PREF DIOMEDES FERREIRA DE MELO 439,TERMINAL DE ONIBUS PONTE DOS CARVALHOS /CAJUEIRO,18BPM,908847754,28183198,-824133968534.355,-349805551298632,2021,01,22,22-01-2021,2:22:00 PM,Tarde,-8.24133968534355,-34.9805551298632
20210122141708ES,M11869019,RECEPTAC,RECEPTACAO,default,,ILHA JOANA BEZERRA,RECIFE,AV  CENTRAL 81,DENTRO DO TERMINAL INTEGRADO ,16BPM,910712827,29088490,-807312583209.837,-348976075145998,2021,01,22,22-01-2021,2:17:00 PM,Tarde,-8.07312583209837,-34.8976075145998
20210122143640ES,M11869033,AGRESSAO,AGRESSAO,AGR1D,FISICA COM LESAO CORPORAL,,,,,7BPM,911764527,-29207127,-792039371148.456,-401680433338936,2021,01,22,22-01-2021,2:36:00 PM,Tarde,-7.92039371148456,-40.1680433338936
20210122205441ES,M11869670,AMEACA,AMEACA,MARIADAPENHA,MARIA DA PENHA,ENGENHO DO MEIO,RECIFE,R  ANTONIO CURADO 223,CLUBE DA COMPESA // PRAÃ‡A DO ENGENHO DO MEIO,12BPM,910899420,28601859,-805605025155.014,-349416690216301,2021,01,22,22-01-2021,8:54:00 PM,Noite,-8.05605025155014,-34.9416690216301
20210122201258ES,M11869553,ENTORPEC,ENTORPECENTES E DROGAS AFINS,ENTORP7,TRAFICO,,,,,7BPM,911764527,-29207127,-792039371148.456,-401680433338936,2021,01,22,22-01-2021,8:12:00 PM,Noite,-7.92039371148456,-40.1680433338936
20210122205820ES,M11869679,ROUBO,ROUBO,12F,DE VEICULO,JARDIM ATLANTICO,OLINDA,R  OLAVO BILAC 700,MERCADO POPULAR // ENTRADA DA COMUNIDADE DO RATO,1BPM,911790981,29676692,-797589608439.049,-348438110024203,2021,01,22,22-01-2021,8:58:00 PM,Noite,-7.97589608439049,-34.8438110024203
20210123050134ES,M11870913,AGRESSAO,AGRESSAO,AGR1D,FISICA COM LESAO CORPORAL,,,,,23BPM,914126651,-1039928,-774358422564.402,-376238668776184,2021,01,23,23-01-2021,5:01:00 AM,Madrugada,-7.74358422564402,-37.6238668776184
20210123051714ES,M11870923,PERTUBAC,PERTURBACAO TRABALHO OU SOSSEGO,RESIDENCIA,RESIDENCIA,,,,,10CIP,904090723,25880402,-867022542891.995,-351919352274429,2021,01,23,23-01-2021,5:17:00 AM,Madrugada,-8.67022542891995,-35.1919352274429
20210123085743ES,M11871056,ATRITO_V,ATRITO VERBAL,MARIADAPENHA,MARIA DA PENHA,,,,,9BPM,899128580,8795177,-910604026643.426,-367473518189581,2021,01,23,23-01-2021,8:57:00 AM,Manhã,-9.10604026643426,-36.7473518189581
20210123085757ES,M11871057,AMEACA,AMEACA,AMEACA1,VERBAL,,,,,5BPM,896038382,-32803633,-932487779559.662,-405196421179546,2021,01,23,23-01-2021,8:57:00 AM,Manhã,-9.32487779559662,-40.5196421179546
20210123094012ES,M11871085,AGRESSAO,AGRESSAO,MARIADAPENHA,MARIA DA PENHA,TORROES,RECIFE,R  MOSTARDAS 212,ASSEMB LEIA DE DEUS/POR TRAZ DA UPA,12BPM,910824815,28677133,-806282704480.075,-349348733731371,2021,01,23,23-01-2021,9:40:00 AM,Manhã,-8.06282704480075,-34.9348733731371
20210123094817ES,M11871087,ROUBO,ROUBO,12B,A ESTABELECIMENTO COMERCIAL,AREIAS,RECIFE,R DR JOSE RUFINO 964,AMERICANAS / LINHA FERREA ,12BPM,910545315,28701632,-808810519699.585,-349327713432484,2021,01,23,23-01-2021,9:48:00 AM,Manhã,-8.08810519699585,-34.9327713432484
20210123101135ES,M11871108,EMBRIAGU,EMBRIAGUEZ ALCOOLICA,default,,,,,,5BPM,896038382,-32803633,-932487779559.662,-405196421179546,2021,01,23,23-01-2021,10:11:00 AM,Manhã,-9.32487779559662,-40.5196421179546
20210123100332ES,M11871102,AMEACA,AMEACA,AMEACA3,COM ARMA DE FOGO,,,,,9BPM,899128580,8795177,-910604026643.426,-367473518189581,2021,01,23,23-01-2021,10:03:00 AM,Manhã,-9.10604026643426,-36.7473518189581
20210123103634ES,M11871130,APOIO_PO,APOIO POLICIAL (PM-PC-BM),BM_VITIMA,BOMBEIRO MILITAR / VITIMA,,,,,8BPM,911964784,-19610867,-79164321353.201,-393031708886797,2021,01,23,23-01-2021,10:36:00 AM,Manhã,-7.79164321353201,-39.3031708886797
20210123103722ES,M11871131,AGRESSAO,AGRESSAO,AGR1F,OUTRAS,,,,,5BPM,896038382,-32803633,-932487779559.662,-405196421179546,2021,01,23,23-01-2021,10:37:00 AM,Manhã,-9.32487779559662,-40.5196421179546
20210123124741ES,M11871273,PROTECA1,PROTECAO DE PESSOAS,default,,,,,,10CIP,904090723,25880402,-867022542891.995,-351919352274429,2021,01,23,23-01-2021,12:47:00 PM,Tarde,-8.67022542891995,-35.1919352274429
20210123124819ES,M11871275,ENTORPEC,ENTORPECENTES E DROGAS AFINS,ENTORP6,PORTE,,,,,5BPM,896038382,-32803633,-932487779559.662,-405196421179546,2021,01,23,23-01-2021,12:48:00 PM,Tarde,-9.32487779559662,-40.5196421179546
20210123124859ES,M11871277,AGRESSAO,AGRESSAO,MARIADAPENHA,MARIA DA PENHA,MARANGUAPE I,PAULISTA,R  QUARENTA E CINCO 155,PRÃ“XIMO AO MERCADINHO BARATEIRO ,17BPM,912068281,29409234,-795071750657.682,-348679534626409,2021,01,23,23-01-2021,12:48:00 PM,Tarde,-7.95071750657682,-34.8679534626409
20210123130328ES,M11871293,DIRECAO1,DIRECAO DE VEICULO SEM HABILITACAO,default,,,,,,14BPM,911845930,-7606639,-794216611278.255,-382197434607745,2021,01,23,23-01-2021,1:03:00 PM,Tarde,-7.94216611278255,-38.2197434607745
20210123141940ES,M11871409,INJURIA,INJURIA,QUALIFICADA,QUALIFICADA,,,,,3BPM,905784389,3327904,-850021884520.259,-372368407276293,2021,01,23,23-01-2021,2:19:00 PM,Tarde,-8.50021884520259,-37.2368407276293
20210123142359ES,M11871412,AMEACA,AMEACA,AMEACA3,COM ARMA DE FOGO,AGUAS COMPRIDAS,OLINDA,R  JOSE ALBERTO 37,PROX LARGO DO BIINO. ,1BPM,911656321,29147097,-798785345887.709,-348918962900377,2021,01,23,23-01-2021,2:23:00 PM,Tarde,-7.98785345887709,-34.8918962900377
20210123142916ES,M11871418,AVERIGUA,AVERIGUACAO DE SUSPEITO,default,,CAETES I,ABREU E LIMA,R  CENTO E NOVENTA E CINCO 180,UMA PARADA ANTES DO TERMINAL DO Ã”NIBUS CAETES I,17BPM,912396191,28691437,-79207753926.549,-349329071229905,2021,01,23,23-01-2021,2:29:00 PM,Tarde,-7.79207753926549,-34.9329071229905
20210123153048ES,M11871519,AGRESSAO,AGRESSAO,AGR1D,FISICA COM LESAO CORPORAL,SANTO AMARO,RECIFE,R  NOEL ROSA 341,A RUA DA EMPRESA TKS,16BPM,911024046,29186603,-804503109812.341,-348885770967694,2021,01,23,23-01-2021,3:30:00 PM,Tarde,-8.04503109812341,-34.8885770967694
20210123154501ES,M11871534,PERTUBAC,PERTURBACAO TRABALHO OU SOSSEGO,VEICULO,VEICULO EM VIA PUBLICA,JORDAO ALTO,RECIFE,R  SERTANIA 3,COLEGIO ADALTO PONTES/ANTIGA COMPESA ,19BPM,910020265,28565317,-813551220412.296,-349453649842699,2021,01,23,23-01-2021,3:45:00 PM,Tarde,-8.13551220412296,-34.9453649842699
20210123154525ES,M11871536,ENTORPEC,ENTORPECENTES E DROGAS AFINS,ENTORP7,TRAFICO,CAETES II,ABREU E LIMA,R  TRINTA E CINCO 201,COTEL ,17BPM,912277896,29501767,-793180438745.607,-348594768191879,2021,01,23,23-01-2021,3:45:00 PM,Tarde,-7.93180438745607,-34.8594768191879
20210123164737ES,M11871670,DIRECAO1,DIRECAO DE VEICULO SEM HABILITACAO,default,,,,,,23BPM,914126651,-1039928,-774358422564.402,-376238668776184,2021,01,23,23-01-2021,4:47:00 PM,Tarde,-7.74358422564402,-37.6238668776184
20210117225719ES,M11862378,ENTORPEC,ENTORPECENTES E DROGAS AFINS,ENTORP6,PORTE,CENTENARIO,CARUARU,TRAVESSA  ITALIA 110,PROX. O VIADUTO DO MONTE BOM JESUS ,4BPM,908346465,17170406,-828044498950.109,-359798788703259,2021,01,17,17-01-2021,10:57:00 PM,Noite,-8.28044498950109,-35.9798788703259
20210117225727ES,M11862379,ASSISTEN,ASSISTENCIA (PM / PC / BM),AMSDS1,A POLICIAL MILITAR,CAMPO GRANDE,RECIFE,AV GOV AGAMENON MAGALHAES 114,,13BPM,911100243,29308620,-803819317686.639,-348774778374529,2021,01,17,17-01-2021,10:57:00 PM,Noite,-8.03819317686639,-34.8774778374529
20210124234942ES,M11877477,AGRESSAO,AGRESSAO,MARIADAPENHA,MARIA DA PENHA,MARCOS FREIRE,JABOATÃƒO DOS GUARARAPES,AV  DOMINGOS FERNANDES 133,IGREJA CATOLICA/ MERCADINHO VITORIA- 3 TRAVESSA,6BPM,909969817,28304842,-813995887319.683,-349690179029335,2021,01,24,24-01-2021,11:49:00 PM,Noite,-8.13995887319683,-34.9690179029335
20210124215806ES,M11876914,COVID19,COVID-19,COVID01,AGLOMERACAO DE PESSOAS,CASA AMARELA,RECIFE,R  CAROLINA 287,MERCEARIA DO NERY/TERMINAL ALTO SANTA ISABEL,11BPM,911268960,28796880,-802272584301.277,-349238221935348,2021,01,24,24-01-2021,9:58:00 PM,Noite,-8.02272584301277,-34.9238221935348
20210125012851ES,M11877756,ADULTERA,ADULTERACAO DE VEICULO,default,,ALDEIA,CAMARAGIBE,AV  VERA CRUZ 10,VERA CRUZ/,20BPM,912060168,27878632,-795080351759.129,-350067539880335,2021,01,25,25-01-2021,1:28:00 AM,Madrugada,-7.95080351759129,-35.0067539880335
20210125013427ES,M11877765,PERTUBAC,PERTURBACAO TRABALHO OU SOSSEGO,RESIDENCIA,RESIDENCIA,VILA DA FABRICA,CAMARAGIBE,R  ANA MARIA DA SILVA 127,ANTIGA DP DE CAMARAGIBE / ANTIGA ESQUINA 17,20BPM,911334585,28147310,-801651379691.244,-349827070892053,2021,01,25,25-01-2021,1:34:00 AM,Madrugada,-8.01651379691244,-34.9827070892053
20210125013654ES,M11877770,FURTO,FURTO,11H,OUTRO,SOLEDADE,RECIFE,R  JOAO FERNANDES VIEIRA 190,SEDE DA CELPE ,16BPM,910920098,29162231,-805441838726.321,-348908313408835,2021,01,25,25-01-2021,1:36:00 AM,Madrugada,-8.05441838726321,-34.8908313408835
20210120123406ES,M11866126,APOIO_SAMU,APOIO AO SAMU,DOENTE,DOENTE MENTAL AGRESSIVO,AGUAS COMPRIDAS,OLINDA,R  JARDIM AGUAS CLARAS 70,70 - ANTIGO NÃšCLEO POLICIAL - POSTO DE SAÃšDE LOCAL.,1BPM,911648127,29064135,-798855974319.396,-348994236858011,2021,01,20,20-01-2021,12:34:00 PM,Tarde,-7.98855974319396,-34.8994236858011
20210120131326ES,M11866160,AMEACA,AMEACA,MARIADAPENHA,MARIA DA PENHA,SANTO ALEIXO,JABOATÃƒO DOS GUARARAPES,R  GRAVATA 53,53 - XXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXXX,25BPM,910492240,27732831,-80924778046.245,-350206748180282,2021,01,20,20-01-2021,1:13:00 PM,Tarde,-8.80924778046245,-35.0206748180282
20210120132712ES,M11866174,ATROPELA,ATROPELAMENTO,default,,JARDIM JORDAO,JABOATÃƒO DOS GUARARAPES,ESTR DA BATALHA 1335,EM FRENTE A COMPESA ,6BPM,909845873,28853391,-815140219254.772,-349193052271085,2021,01,20,20-01-2021,1:27:00 PM,Tarde,-8.15140219254772,-34.9193052271085
20210101091406ES,M11824831,PROJ190MULHER,PROJETO 190 MULHER,default,,,,TV  TRINTA E SEIS 91,,20BPM,911384880,27516284,-801168788060.853,-350399133187979,2021,01,01,01-01-2021,9:14:00 AM,Manhã,-8.01168788060853,-35.0399133187979
20210101201242ES,M11827076,TIROTEIO,TIROTEIO,default,,DERBY,RECIFE,R DA BAIXA VERDE 521,IGREJA SANTA TERINHA,13BPM,910915680,29068178,-805477837645.046,-348993644264857,2021,01,01,01-01-2021,8:12:00 PM,Noite,-8.05477837645046,-34.8993644264857
20210102092818ES,M11828394,RECEPTAC,RECEPTACAO,default,,CARMO,OLINDA,AV  SIGISMUNDO GONCALVES,,1BPM,911338118,29631931,-801682037172.887,-348480548028991,2021,01,02,02-01-2021,9:28:00 AM,Manhã,-8.01682037172887,-34.8480548028991
20210102193136ES,M11829346,OBJETO_L,OBJETO LOCALIZADO / ABANDONADO,default,,COHAB,RECIFE,AV  COSTA PORTO 301,PROX A LADEIRA DE MONTE VERDE ,19BPM,910264051,28453902,-811342500766.484,-349553660349675,2021,01,02,02-01-2021,7:31:00 PM,Noite,-8.11342500766484,-34.9553660349675
20210102193207ES,M11829352,APOIO_SAMU,APOIO AO SAMU,DOENTE,DOENTE MENTAL AGRESSIVO,,,,,21BPM,908993440,24721578,-822649844784.902,-35294568511098,2021,01,02,02-01-2021,7:32:00 PM,Noite,-8.22649844784902,-35.5294568511098
20210102193226ES,M11829353,AMEACA,AMEACA,AMEACA1,VERBAL,VARZEA,RECIFE,R  JOAO FRANCISCO LISBOA 149,POR TRAS DA IGREJA CATOLICA ,12BPM,910967266,28390669,-804982570510.528,-349607952656748,2021,01,02,02-01-2021,7:32:00 PM,Noite,-8.04982570510528,-34.9607952656748
20210103091827ES,M11831349,AMEACA,AMEACA,AMEACA4,OUTRO INSTRUMENTO,ENGENHO MARANGUAPE,PAULISTA,R  ITINGA 43,MERCADA DE NADO // SUBIDA DA CAIXA DAGUA ,17BPM,912397278,29672072,-792107994660.773,-348439851998615,2021,01,03,03-01-2021,9:18:00 AM,Manhã,-7.92107994660773,-34.8439851998615
20210103095007ES,M11831363,PORTE,PORTE ILEGAL DE ARMA,default,,,,,,14BPM,911845930,-7606639,-794216611278.255,-382197434607745,2021,01,03,03-01-2021,9:50:00 AM,Manhã,-7.94216611278255,-38.2197434607745
20210103223735ES,M11833142,ENTORPEC,ENTORPECENTES E DROGAS AFINS,ENTORP5,OUTROS,,,,,11CIP,901743361,15807548,-887588787473.341,-361083104262011,2021,01,03,03-01-2021,10:37:00 PM,Noite,-8.87588787473341,-36.1083104262011
20210103220340ES,M11832994,AGRESSAO,AGRESSAO,AGR1D,FISICA COM LESAO CORPORAL,TORRE,RECIFE,R JORN LUIZ TEIXEIRA 29,COMUNIDADE VILA STA LUZIA / BAR DE ANA PAULA,13BPM,911023672,28896950,-804494322657.799,-349148499721021,2021,01,03,03-01-2021,10:03:00 PM,Noite,-8.04494322657799,-34.9148499721021
20210103220353ES,M11832996,AGRESSAO,AGRESSAO,MARIADAPENHA,MARIA DA PENHA,,,,,5BPM,896038382,-32803633,-932487779559.662,-405196421179546,2021,01,03,03-01-2021,10:03:00 PM,Noite,-9.32487779559662,-40.5196421179546
20210103225842ES,M11833222,AGRESSAO,AGRESSAO,AGR1E,FISICA SEM LESAO CORPORAL,TORROES,RECIFE,R  RAIMUNDO ASFORA 48,LOJA CLEIDE CALÃ‡ADOS / ANTES DO MERCADINHO DO VAL,12BPM,910834707,28613682,-806190556065.434,-349406245053267,2021,01,03,03-01-2021,10:58:00 PM,Noite,-8.06190556065434,-34.9406245053267
20210104204025ES,M11834645,AVERIGUA,AVERIGUACAO DE SUSPEITO,default,,ARTHUR LUNDGREN I ,PAULISTA,R  TRES 19,CAMPO DO CAVEIRÃƒO,17BPM,912300798,29176360,-79296010636.416,-348889754585485,2021,01,04,04-01-2021,8:40:00 PM,Noite,-7.79296010636416,-34.8889754585485
20210105185646ES,M11835769,AMEACA,AMEACA,AMEACA1,VERBAL,DOIS UNIDOS,RECIFE,R  MAMEDE COELHO 695,"COLÃ‰GIO PROF VIANA , ",11BPM,911458616,29018671,-800567351785.968,-349036263632791,2021,01,05,05-01-2021,6:56:00 PM,Noite,-8.00567351785968,-34.9036263632791
20210105184414ES,M11835753,AVERIGUA,AVERIGUACAO DE SUSPEITO,default,,,,,,3BPM,905784389,3327904,-850021884520.259,-372368407276293,2021,01,05,05-01-2021,6:44:00 PM,Noite,-8.50021884520259,-37.2368407276293
20210106211839ES,M11837263,PORTE,PORTE ILEGAL DE ARMA,default,,,,,,14BPM,911845930,-7606639,-794216611278.255,-382197434607745,2021,01,06,06-01-2021,9:18:00 PM,Noite,-7.94216611278255,-38.2197434607745
