DATAHORA,NUM_OCORRENCIA,COD_TIPO_OCORRENCIA,DESC_TIPO_OCORRENCIA,COD_SUBTIPO_OCORRENCIA,DESC_SUBTIPO_OCORRENCIA,BAIRRO,MUNICIPIO,ENDERECO,REFERENCIA,AREA,Y,X,LATITUDE,LONGITUDE,Ano,Mes,Dia,date,Hora_Completa,Periodo,lat,lng
20210121100833ES,M11867333,APOIO_A,APOIO A OFICIAL DE JUSTICA,default,,IMBIRIBEIRA,RECIFE,R  JOAO BRAGA 30,NO BAR DA ANDREIA DE ESQUINA COM A RUA JOÃƒO BRAGA,19BPM,910420467,28918990,-809948478390.328,-349131074952538,2021,01,21,21-01-2021,10:08:00 AM,Manhã,-8.09948478390328,-34.9131074952538
20210121204842ES,M11868015,AMEACA,AMEACA,AMEACA2,COM ARMA BRANCA,,,,,2CIP,906468322,-19327809,-841099392517.145,-392853988578635,2021,01,21,21-01-2021,8:48:00 PM,Noite,-8.41099392517145,-39.2853988578635
20210121204906ES,M11868016,ENTORPEC,ENTORPECENTES E DROGAS AFINS,ENTORP6,PORTE,,,,,11CIP,901743361,15807548,-887588787473.341,-361083104262011,2021,01,21,21-01-2021,8:49:00 PM,Noite,-8.87588787473341,-36.1083104262011
20210121211719ES,M11868071,VEICULO4,VEICULO ROUBADO OU FURTADO,default,,,,,,3BPM,905784389,3327904,-850021884520.259,-372368407276293,2021,01,21,21-01-2021,9:17:00 PM,Noite,-8.50021884520259,-37.2368407276293
20210121221739ES,M11868167,AGRESSAO,AGRESSAO,MARIADAPENHA,MARIA DA PENHA,ZONA RURAL,IGARASSU,R  CURITIBA 1129,PX BAR DA GAIA ,26BPM,913268948,29054094,-784202438190.432,-348996629221227,2021,01,21,21-01-2021,10:17:00 PM,Noite,-7.84202438190432,-34.8996629221227
20210101035006ES,M11823461,ATRITO_V,ATRITO VERBAL,default,,CENTRO(MORENO),MORENO,AV  CLETO CAMPELO 1597,SENTIDO MATADOURO - BEIRANDO O RIO/ TERMINAL,25BPM,910228469,27043382,-811600693985.358,-350833349465365,2021,01,01,01-01-2021,3:50:00 AM,Madrugada,-8.11600693985358,-35.0833349465365
20210101035013ES,M11823462,AGRESSAO,AGRESSAO,MARIADAPENHA,MARIA DA PENHA,CIDADE TABAJARA,PAULISTA,R  GUATAMBU 13,PX AO PASTEL DA GABI ,1BPM,911813206,29401192,-797377478073.369,-348687872987564,2021,01,01,01-01-2021,3:50:00 AM,Madrugada,-7.97377478073369,-34.8687872987564
20210102212439ES,M11829767,PORTE,PORTE ILEGAL DE ARMA,default,,,,,,2BPM,914936127,24483871,-768926803489.769,-35313118657298,2021,01,02,02-01-2021,9:24:00 PM,Noite,-7.68926803489769,-35.5313118657298
20210102211735ES,M11829735,PERTUBAC,PERTURBACAO TRABALHO OU SOSSEGO,RESIDENCIA,RESIDENCIA,,,,,5BPM,896038382,-32803633,-932487779559.662,-405196421179546,2021,01,02,02-01-2021,9:17:00 PM,Noite,-9.32487779559662,-40.5196421179546
20210106031911ES,M11836333,ENTORPEC,ENTORPECENTES E DROGAS AFINS,ENTORP7,TRAFICO,,,,,9CIP,914780319,-32624034,-764450276670.007,-404706865367968,2021,01,06,06-01-2021,3:19:00 AM,Madrugada,-7.64450276670007,-40.4706865367968
20210106034346ES,M11836338,ESCOLTA,ESCOLTA,ESCOLTA1,DE PRESO,TOTO,RECIFE,PEJALLB,,26BPM,912955259,29001249,-787036195865.702,-349045830913573,2021,01,06,06-01-2021,3:43:00 AM,Madrugada,-7.87036195865702,-34.9045830913573
20210106045027ES,M11836365,PERTUBAC,PERTURBACAO TRABALHO OU SOSSEGO,RESIDENCIA,RESIDENCIA,CENTRO(ITAPISSUMA),ITAPISSUMA,R DO CAJUEIRO 257,PROXIMO A PADARIA DE DIEL,26BPM,914055108,29066737,-777095590872.715,-348981958665874,2021,01,06,06-01-2021,4:50:00 AM,Madrugada,-7.77095590872715,-34.8981958665874
20210108082008ES,M11839047,DISPARO3,Disparo de arma de fogo em Estabelecimento Prisional,default,,SOSSEGO,ITAMARACÃ,R  CAVALA 3571,PRESIDIO BARRETO CAMPELO ,26BPM,914506224,29625484,-773039433167.525,-34847369917641,2021,01,08,08-01-2021,8:20:00 AM,Manhã,-7.73039433167525,-34.4847369917641
20210108101925ES,M11839120,CRIANCA,CRIANCA E ADOLESCENTE,CRIAD1,INFRATORA,CRUZ DE REBOUCAS,IGARASSU,R  LUCIANO PAIVA DE SOUZA 239,MERCADO TAVARES ,26BPM,912919877,28963616,-78735451727.503,-349080097420684,2021,01,08,08-01-2021,10:19:00 AM,Manhã,-7.78735451727503,-34.9080097420684
20210108091116ES,M11839078,AVERIGUA,AVERIGUACAO DE SUSPEITO,default,,JANGA,PAULISTA,R  PAULISTA 200,ATRAZ DO RESIDENCIAL CRISTINA TAVARES ,17BPM,912379486,29818508,-792274703217.109,-348307134703195,2021,01,08,08-01-2021,9:11:00 AM,Manhã,-7.92274703217109,-34.8307134703195
20210101021613ES,M11823031,AMEACA,AMEACA,AMEACA2,COM ARMA BRANCA,,,,,2BPM,914936127,24483871,-768926803489.769,-35313118657298,2021,01,01,01-01-2021,2:16:00 AM,Madrugada,-7.68926803489769,-35.5313118657298
20210101103123ES,M11825103,DESOBEDI,DESOBEDIENCIA / DESRESPEITO / DESACATO,AUTORIDADE,A AUTORIDADE,,,,,3BPM,905784389,3327904,-850021884520.259,-372368407276293,2021,01,01,01-01-2021,10:31:00 AM,Manhã,-8.50021884520259,-37.2368407276293
20210101105227ES,M11825183,AGRESSAO,AGRESSAO,AGR1F,OUTRAS,,,,,5BPM,896038382,-32803633,-932487779559.662,-405196421179546,2021,01,01,01-01-2021,10:52:00 AM,Manhã,-9.32487779559662,-40.5196421179546
20210101193507ES,M11826895,APOIO_SAMU,APOIO AO SAMU,DOENTE,DOENTE MENTAL AGRESSIVO,DOIS CARNEIROS,JABOATÃƒO DOS GUARARAPES,R  SETE 191,PX TERMINAL DE ONIBUS ALTO DOIS CARNEIROS ,25BPM,908890728,28629927,-823765288932.733,-34939997694675,2021,01,01,01-01-2021,7:35:00 PM,Noite,-8.23765288932733,-34.4939997694675
20210103141324ES,M11831628,COLISAO1,COLISAO ENTRE VEICULOS,TRAN1A,COM VITIMA FERIDA / LIVRE DE FERRAGENS,,,,,5BPM,896038382,-32803633,-932487779559.662,-405196421179546,2021,01,03,03-01-2021,2:13:00 PM,Tarde,-9.32487779559662,-40.5196421179546
20210103225325ES,M11833200,AVERIGUA,AVERIGUACAO DE SUSPEITO,default,,IMBIRIBEIRA,RECIFE,AV MAL MASCARENHAS DE MORAIS 2754,JACAUNA DECORAÃ‡ÃƒO / EM FRENTE AO ASSAI,19BPM,910359289,28940528,-810502468601.393,-34911179761113,2021,01,03,03-01-2021,10:53:00 PM,Noite,-8.10502468601393,-34.4911179761113
20210103225734ES,M11833217,RECEPTAC,RECEPTACAO,default,,,,,,21BPM,908993440,24721578,-822649844784.902,-35294568511098,2021,01,03,03-01-2021,10:57:00 PM,Noite,-8.22649844784902,-35.5294568511098
