lat,lng,date
-7.94216611278255,-38.2197434607745,2021-01-07
-8.28093217085417,-35.9962839256103,2021-01-07
-9.32487779559662,-40.5196421179546,2021-01-07
-8.44468553905383,-35.0174704463389,2021-01-07
-8.02913913914113,-34.8758789298757,2021-01-08
-8.50021884520259,-37.2368407276293,2021-01-08
-8.11074669033751,-34.8892746542926,2021-01-09
-7.95177470274807,-34.8627503495176,2021-01-09
-8.01631580172623,-34.4855055007906,2021-01-09
-7.97344976906528,-34.4844156647845,2021-01-09
-7.77837231290872,-35.5690574067551,2021-01-09
-7.99528296920002,-34.8934944707309,2021-01-09
-8.00122337359621,-34.9358663384179,2021-01-09
-8.01002920984844,-34.9027885908477,2021-01-09
-9.10604026643426,-36.7473518189581,2021-01-09
-8.50021884520259,-37.2368407276293,2021-01-10
-8.24190376607607,-36.1839878538653,2021-01-10
-8.76632663291361,-35.6972544458122,2021-01-10
-7.96938122535191,-35.5516869655155,2021-01-10
-8.50021884520259,-37.2368407276293,2021-01-10
-8.12225560101898,-35.1053385971234,2021-01-11
-8.10695420485472,-35.1877317046039,2021-01-11
-9.32487779559662,-40.5196421179546,2021-01-11
-9.10604026643426,-36.7473518189581,2021-01-11
-8.61339794743825,-39.0362866705957,2021-01-11
-7.99169370954132,-35.0449452919324,2021-01-12
-8.08023720997716,-34.9083553089879,2021-01-12
-8.13314521557746,-34.9527757390687,2021-01-12
-8.12988363023565,-34.9165382749572,2021-01-13
-8.01270498098158,-34.9698217420606,2021-01-13
-8.22649844784902,-35.5294568511098,2021-01-14
-7.64450276670007,-40.4706865367968,2021-01-14
-8.50021884520259,-37.2368407276293,2021-01-14
-8.04546140290741,-34.9095574629696,2021-01-14
-9.32487779559662,-40.5196421179546,2021-01-14
-8.61339794743825,-39.0362866705957,2021-01-14
-8.29777036673554,-35.0298011643414,2021-01-15
-7.79164321353201,-39.3031708886797,2021-01-15
-7.68926803489769,-35.5313118657298,2021-01-15
-8.02552842621592,-34.4889907764378,2021-01-15
-9.32487779559662,-40.5196421179546,2021-01-16
-8.17677574281469,-34.9497903646556,2021-01-16
-7.94216611278255,-38.2197434607745,2021-01-16
-8.15721441572903,-34.4932472201536,2021-01-16
-8.18710599598107,-34.9310424514726,2021-01-16
